날짜,서버시간hits수,종류,시기,설명,학교
2019-02-19,12686,4학년 수강신청,2019년도 1학기,2019년도 1학기 4학년 수강신청,고려대
2019-02-20,22754,3학년 수강신청,2019년도 1학기,2019년도 1학기 3학년 수강신청,고려대
2019-02-21,32344,2학년 수강신청,2019년도 1학기,2019년도 1학기 2학년 수강신청,고려대
2019-02-22,1975,1학년 수강신청,2019년도 1학기,2019년도 1학기 1학년 수강신청,고려대
2019-03-06,13125,"3,4 학년 수강신청 정정",2019년도 1학기,"2019년도 1학기 3,4학년 수강신청 정정",고려대
2019-03-07,22943,"1,2학년 수강신청 정정",2019년도 1학기,"2019년도 1학기 1,2학년 수강신청 정정",고려대
2019-03-08,32429,전체학년 수강신청 정정,2019년도 1학기,2019년도 1학기 전체학년 수강신청 정정,고려대
2019-08-16,11659,4학년 수강신청,2019년도 2학기,2019년도 2학기 4학년 수강신청,고려대
2019-08-19,24316,3학년 수강신청,2019년도 2학기,2019년도 2학기 3학년 수강신청,고려대
2019-08-20,30784,2학년 수강신청,2019년도 2학기,2019년도 2학기 2학년 수강신청,고려대
2019-08-21,27870,1학년 수강신청,2019년도 2학기,2019년도 2학기 1학년 수강신청,고려대
2019-09-08,13003,"3,4 학년 수강신청 정정",2019년도 2학기,"2019년도 2학기 3,4 학년 수강신청 정정",고려대
2019-09-09,23679,"1,2학년 수강신청 정정",2019년도 2학기,"2019년도 2학기 1,2학년 수강신청 정정",고려대
2019-09-10,33551,전체학년 수강신청 정정,2019년도 2학기,2019년도 2학기 전체학년 수강신청 정정,고려대
2020-02-18,43348,4학년 수강신청,2020년도 1학기,2020년도 1학기 4학년 수강신청,고려대
2019-02-11,811,2학년 이상 수강신청,2019년도 1학기,2019년도 1학기 2학년 이상 수강신청,연세대
2019-02-14,9005,추가 수강신청,2019년도 1학기,2019년도 1학기 추가 수강신청,연세대
2019-02-26,18336,신입생 및 1학년 수강신청,2019년도 1학기,2019년도 1학기 신입생 및 1학년 수강신청,연세대
2019-08-07,1415,2학년 이상 수강신청,2019년도 2학기,2019년도 2학기 2학년 이상 수강신청,연세대
2019-08-12,8896,추가 수강신청,2019년도 2학기,2019년도 2학기 추가 수강신청,연세대
2019-08-27,21772,신입생 및 1학년 수강신청,2019년도 2학기,2019년도 1학기 신입생 및 1학년 수강신청,연세대
2020-02-17,1094,2학년 이상 수강신청,2020년도 1학기,2020년도 1학기 2학년 이상 수강신청,연세대
